# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	xdhA//
yfdPQ	
yfdRST	pdxY//
yfdX_frc_oxc_yfdVE	pyrC//cobC//purA//
yfeCD	
yfeKS	
yfeYX	fdhF//
yffB_dapE_ypfN	pgl//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	ulaG//
yfiP_patZ	yajO//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	menI//
ygaXY	
ygaZH	serC//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	orn//allE//citD//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	paaH//
yggX_mltC	yidA//
yggX_mltC_nupG	hemE//luxS//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	rdoA//pyrH//
ygiM_cca	rsmC//
ygjJK	yigL//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	torA//waaJ//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	lpxD//lpxD//leuA//mhpA//menA//atoA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	xdhA//
yicJI	waaJ//
yicR_rpmBG	
yicR_rpmBG_mutM	glpK//
yidHGF	
yidKJ	
yieEF	yeiR//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	lpxL//rsuA//
yifNO	
yigGF	
yihLM	
yihPO	uxaA//
yihUTS	dcm//ygiF//sdhC//
yihVW	purU//
yihXY_dtd_yiiD	abgA//astE//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	fkpA//hcaB//glpC//sdaB//sgbU//ppiC//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	umuD//paaE//
yjiHG_iadA	hyuA//
yjiML	
yjiPQ	
yjiXA	malZ//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ilvG_2//allE//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	dusB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	ulaD//
ynfB_speG	gcvH//
ynfEFGH_dmsD	entB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	sdhB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ygiF//
yqaE_kbp	
yqcC_truC_yqcA	gpp//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	lipB//thiF//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	metL//
yrbG_kdsDC_lptCAB	ftsI//ldtD//fadB//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	nirB//yrfG//
yrfG_hslR	coaA//
ytfQRT_yjfF	adiA//
ytjB_lplA	tsaE//
znuCB	ppsA//
zraSR	
