# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pck//
yfdX_frc_oxc_yfdVE	hflX//tauD//tadA//
yfeCD	
yfeKS	
yfeYX	rihA//
yffB_dapE_ypfN	fabA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	garD//
yfiP_patZ	cysQ//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	lpxA//
ygaXY	
ygaZH	tag//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	cysM//tmk//dgcP//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	cysN//
yggX_mltC	dapE//
yggX_mltC_nupG	amiD//ispB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	umuD//leuD//
ygiM_cca	fadK//
ygjJK	idnO//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	aspC//frdB//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	adhP//aroC//avtA//kefF//rbn//menF//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	accB//
yicJI	rutD//
yicR_rpmBG	
yicR_rpmBG_mutM	glpA//
yidHGF	
yidKJ	
yieEF	tyrS//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	glcB//eptB//
yifNO	
yigGF	
yihLM	
yihPO	speE//
yihUTS	wcaJ//ligB//rhaD//
yihVW	dmsA//
yihXY_dtd_yiiD	pabB//puuE//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	narY//fucI//astC//gltB//fadB//ubiC//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	galU//aroK//
yjiHG_iadA	metK//
yjiML	
yjiPQ	
yjiXA	trmD//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ligB//araD//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	purT//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	malY//
ynfB_speG	dmlA//
ynfEFGH_dmsD	glk//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	astC//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	sucA//
yqaE_kbp	
yqcC_truC_yqcA	ulaD//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	hcaF//cueO//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	psuK//
yrbG_kdsDC_lptCAB	paaI//prs//panC//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	pyrC//fbp//
yrfG_hslR	yccX//
ytfQRT_yjfF	nrfB//
ytjB_lplA	araB//
znuCB	yjhH//
zraSR	
