# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	xthA//
yfdX_frc_oxc_yfdVE	garD//eutC//solA//
yfeCD	
yfeKS	
yfeYX	ghrA//
yffB_dapE_ypfN	tcdA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	suhB//
yfiP_patZ	gloB//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	acpS//
ygaXY	
ygaZH	thiI//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	acpT//glcD//alsK//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	ubiH//
yggX_mltC	yfeW//
yggX_mltC_nupG	aroG//kduD//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	waaL//sodC//
ygiM_cca	trpD//
ygjJK	glyS//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	patA//yfcF//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	glmS//scpC//mhpB//hemF//manA//citX//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	guaB//
yicJI	murQ//
yicR_rpmBG	
yicR_rpmBG_mutM	tsaC//
yidHGF	
yidKJ	
yieEF	ldtC//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	dapF//ubiC//
yifNO	
yigGF	
yihLM	
yihPO	speC//
yihUTS	gstB//dkgA//napG//
yihVW	idi//
yihXY_dtd_yiiD	dcyD//ubiH//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	rhaB//mdh//yagE//fadE//glyS//ynfF//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	aroB//rluA//
yjiHG_iadA	surA//
yjiML	
yjiPQ	
yjiXA	cyaA//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ahr//eno//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	gudD//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	puuD//
ynfB_speG	cyoE//
ynfEFGH_dmsD	nadE//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	dut//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	uxuB//
yqaE_kbp	
yqcC_truC_yqcA	allE//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	rsmI//argE//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	ampC//
yrbG_kdsDC_lptCAB	araA//queG//recR//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	gltD//uxaB//
yrfG_hslR	icd//
ytfQRT_yjfF	mdh//
ytjB_lplA	rsmB//
znuCB	ileS//
zraSR	
