# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	kdgK//
yfdONMLK	
yfdPQ	
yfdRST	arnA//
yfdX_frc_oxc_yfdVE	ghrA//rbn//yihX//
yfeCD	
yfeKS	
yfeYX	hcaF//
yffB_dapE_ypfN	ycaO//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	frlB//
yfiP_patZ	ttdB//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	glpE//
ygaXY	
ygaZH	hycE//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	thiL//sufS//lpxA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	rnt//
yggX_mltC	mltB//
yggX_mltC_nupG	fucA//rnb//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	hycE//selD//
ygiM_cca	gabT//
ygjJK	glmS//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	tatD//umpG//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	sodC//ribA//aspS//cysH//ubiD//folK//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	arsC//
yicJI	hyi//
yicR_rpmBG	
yicR_rpmBG_mutM	avtA//
yidHGF	
yidKJ	
yieEF	wcaJ//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	pncB//queC//
yifNO	
yigGF	
yihLM	
yihPO	ulaF//
yihUTS	adeD//mnmG//pyrC//
yihVW	sucC//
yihXY_dtd_yiiD	aphA//moeA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	ybhA//polA//nhoA//ppx//arnC//rihC//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	fucU//ampD//
yjiHG_iadA	ycjG//
yjiML	
yjiPQ	
yjiXA	slt//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	melA//bioD//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	paaC//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	mhpB//
ynfB_speG	clsA//
ynfEFGH_dmsD	guaB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	rffT//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	fucA//
yqaE_kbp	
yqcC_truC_yqcA	sbcB//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	sdhC//ligB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	mcrC//
yrbG_kdsDC_lptCAB	argH//ychF//cueO//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	dgcT//entE//
yrfG_hslR	xylB//
ytfQRT_yjfF	tcdA//
ytjB_lplA	mazG//
znuCB	purD//
zraSR	
