# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	wzb//
yfdX_frc_oxc_yfdVE	roxA//appA//hycB//
yfeCD	
yfeKS	
yfeYX	yiaK//
yffB_dapE_ypfN	fre//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	ygiF//
yfiP_patZ	ilvA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	nemA//
ygaXY	
ygaZH	yfdR//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	insI-3//mrcA//rnt//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	pgaC//
yggX_mltC	apaH//
yggX_mltC_nupG	tam//torA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	rffT//citF//
ygiM_cca	pheT//
ygjJK	tag//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	garR//napA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	guaA//yliI//prs//proB//aroE//hmp//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	ghrA//
yicJI	hemD//
yicR_rpmBG	
yicR_rpmBG_mutM	mltC//
yidHGF	
yidKJ	
yieEF	citG//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	rpiB//yfbR//
yifNO	
yigGF	
yihLM	
yihPO	malY//
yihUTS	frdD//thiE//gluQ//
yihVW	dnaE//
yihXY_dtd_yiiD	glyQ//yfiC//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	pnp//pgpC//ushA//katG//ydiO//prpB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	sgbE//mutM//
yjiHG_iadA	roxA//
yjiML	
yjiPQ	
yjiXA	menH//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ribC//dmsB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	rhaB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	torZ//
ynfB_speG	kduD//
ynfEFGH_dmsD	phr//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	paoB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	roxA//
yqaE_kbp	
yqcC_truC_yqcA	tdcD//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	mhpE//rsmH//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	aldB//
yrbG_kdsDC_lptCAB	ribE//speA//rsgA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	cpsG//xthA//
yrfG_hslR	rlmI//
ytfQRT_yjfF	ftsI//
ytjB_lplA	citF//
znuCB	recF//
zraSR	
