# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yniC//
yfdX_frc_oxc_yfdVE	torA//ppc//hisA//
yfeCD	
yfeKS	
yfeYX	fucK//
yffB_dapE_ypfN	aspC//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	ogt//
yfiP_patZ	murD//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	ygjK//
ygaXY	
ygaZH	hyuA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	yjjG//frdB//paaF//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	nanA//
yggX_mltC	phnG//
yggX_mltC_nupG	tgt//paaG//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	agp//ispF//
ygiM_cca	thiC//
ygjJK	rlmH//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	nudE//leuD//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	ydiO//queG//leuC//ldcC//acpT//ubiD//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	cysD//
yicJI	pdxJ//
yicR_rpmBG	
yicR_rpmBG_mutM	entF//
yidHGF	
yidKJ	
yieEF	yjeF//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	ldhA//nrdF//
yifNO	
yigGF	
yihLM	
yihPO	alsE//
yihUTS	galE//paaE//yfiC//
yihVW	frlD//
yihXY_dtd_yiiD	mnmE//hemL//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	frlB//treF//uvrA//gshB//pcm//patZ//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	dgoA//hisS//
yjiHG_iadA	apaH//
yjiML	
yjiPQ	
yjiXA	tdcE//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ampD//waaJ//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	dgcM//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	hemE//
ynfB_speG	pgaC//
ynfEFGH_dmsD	yjhG//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	pcm//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	yqaB//
yqaE_kbp	
yqcC_truC_yqcA	dkgA//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	folE//frdB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	gudD//
yrbG_kdsDC_lptCAB	betB//rutA//uxaB//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	acnA//mcrB//
yrfG_hslR	paoC//
ytfQRT_yjfF	uxaC//
ytjB_lplA	dinB//
znuCB	thiF//
zraSR	
