# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	argS//
yfdX_frc_oxc_yfdVE	purK//ruvB//dapF//
yfeCD	
yfeKS	
yfeYX	dmsC//
yffB_dapE_ypfN	dapF//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	pyrG//
yfiP_patZ	trmD//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	betA//
ygaXY	
ygaZH	glpC//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	rsuA//phnH//speD//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	sseA//
yggX_mltC	miaB//
yggX_mltC_nupG	lpoB//queF//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	nudL//entH//
ygiM_cca	dhaM//
ygjJK	mtn//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	menI//truB//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	ygeX//mnmA//ruvB//accC//mnmA//hyuA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	rlmD//
yicJI	rluD//
yicR_rpmBG	
yicR_rpmBG_mutM	qor//
yidHGF	
yidKJ	
yieEF	rffM//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	yjhG//frdC//
yifNO	
yigGF	
yihLM	
yihPO	dacC//
yihUTS	dfp//citD//accB//
yihVW	rsmJ//
yihXY_dtd_yiiD	glnE//panB//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	epmC//nudB//dhaK//ubiF//sad//tesA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	leuA//ydfG//
yjiHG_iadA	hycD//
yjiML	
yjiPQ	
yjiXA	amiD//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	mdh//eno//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	rutB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	fabD//
ynfB_speG	nadK//
ynfEFGH_dmsD	aroA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	hdhA//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	yahK//
yqaE_kbp	
yqcC_truC_yqcA	luxS//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	mhpF//maa//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	eutC//
yrbG_kdsDC_lptCAB	ldtC//dacC//pdxB//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	appA//speE//
yrfG_hslR	lpxD//
ytfQRT_yjfF	metB//
ytjB_lplA	paoC//
znuCB	rluA//
zraSR	
