# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	lacZ//
yfdONMLK	
yfdPQ	
yfdRST	narG//
yfdX_frc_oxc_yfdVE	yciA//udk//sodC//
yfeCD	
yfeKS	
yfeYX	gmm//
yffB_dapE_ypfN	argS//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	btuR//
yfiP_patZ	yahK//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	accC//
ygaXY	
ygaZH	dhaL//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	yegS//atoB//nrfD//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	thiE//
yggX_mltC	paaY//
yggX_mltC_nupG	yqaB//tnaA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	yjjX//ribB//
ygiM_cca	icd//
ygjJK	mmuM//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	phnN//torZ//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	torY//sufS//proS//dosC//mug//murG//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	eda//
yicJI	allB//
yicR_rpmBG	
yicR_rpmBG_mutM	gluQ//
yidHGF	
yidKJ	
yieEF	lpd//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	tdcB//mcrB//
yifNO	
yigGF	
yihLM	
yihPO	aroK//
yihUTS	mobA//aspC//ribD//
yihVW	cpsB//
yihXY_dtd_yiiD	hemB//fadI//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	yieF//epmC//gstA//yajO//gntK//pgpC//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	mltB//nemA//
yjiHG_iadA	ispG//
yjiML	
yjiPQ	
yjiXA	pyrG//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	manA//tktB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	ldtD//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	patD//
ynfB_speG	hyaA//
ynfEFGH_dmsD	idi//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	argH//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	argI//
yqaE_kbp	
yqcC_truC_yqcA	dgcM//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	ttdA//wbbI//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	pabA//
yrbG_kdsDC_lptCAB	ydiB//thrA//mug//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	glnE//gpsA//
yrfG_hslR	fucK//
ytfQRT_yjfF	yicI//
ytjB_lplA	yeaG//
znuCB	ybcF//
zraSR	
