# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rffG//
yfdONMLK	
yfdPQ	
yfdRST	tmcA//
yfdX_frc_oxc_yfdVE	rsmE//yniC//ackA//
yfeCD	
yfeKS	
yfeYX	phoA//
yffB_dapE_ypfN	speC//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	waaU//
yfiP_patZ	iscS//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	cdh//
ygaXY	
ygaZH	bcsB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	nrfA//tnaA//yibQ//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	epd//
yggX_mltC	yihT//
yggX_mltC_nupG	thrS//ubiG//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	pta//accA//
ygiM_cca	pepD//
ygjJK	allE//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	purE//cynS//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	rfbD//lacA//rrrD//yjhH//rrrD//sodB//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	yceF//
yicJI	adhP//
yicR_rpmBG	
yicR_rpmBG_mutM	purL//
yidHGF	
yidKJ	
yieEF	mutT//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	yjhH//sucA//
yifNO	
yigGF	
yihLM	
yihPO	mutH//
yihUTS	tdcD//thrS//mrcB//
yihVW	ispU//
yihXY_dtd_yiiD	ftnA//lhgO//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	dgoK//glxR//gltA//roxA//miaA//prpB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	ldtB//cfa//
yjiHG_iadA	hisB//
yjiML	
yjiPQ	
yjiXA	gcvP//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	dusA//waaP//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	proB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	ribE//
ynfB_speG	aslA//
ynfEFGH_dmsD	frdC//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	fadI//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	pyrD//
yqaE_kbp	
yqcC_truC_yqcA	aspS//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	entH//spoT//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	acpT//
yrbG_kdsDC_lptCAB	anmK//lpxL//lacA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	yeiR//dacD//
yrfG_hslR	ynfF//
ytfQRT_yjfF	yceF//
ytjB_lplA	hcaF//
znuCB	thrA//
zraSR	
