# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	nudI//
yfdRST	ycaO//
yfdX_frc_oxc_yfdVE	menH//speD//eptB//
yfeCD	
yfeKS	
yfeYX	cdsA//
yffB_dapE_ypfN	gor//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	garD//
yfiP_patZ	patD//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	mnmC//
ygaXY	
ygaZH	pagP//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	hflX//trmA//pdeF//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	yhhW//
yggX_mltC	gltD//
yggX_mltC_nupG	metA//ddlB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	fabZ//asnA//
ygiM_cca	amyA//
ygjJK	cobT//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	queA//pgi//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	gpp//acnA//rffT//ribA//citG//narG//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	cdd//
yicJI	polB//
yicR_rpmBG	
yicR_rpmBG_mutM	aroB//
yidHGF	
yidKJ	
yieEF	tesB//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	nanA//poxB//
yifNO	
yigGF	
yihLM	
yihPO	prpC//
yihUTS	ada//pphA//bioB//
yihVW	der//
yihXY_dtd_yiiD	udp//def//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	yciA//dxr//serA//tilS//asd//malZ//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	cdh//mutL//
yjiHG_iadA	nanK//
yjiML	
yjiPQ	
yjiXA	psuK//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	proA//puuB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	bioF//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	cysN//
ynfB_speG	amiD//
ynfEFGH_dmsD	moeB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	wzb//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	sbcB//
yqaE_kbp	
yqcC_truC_yqcA	allD//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	dcyD//carA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	ppiA//
yrbG_kdsDC_lptCAB	yliI//lhgO//metA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	waaF//ldcA//
yrfG_hslR	ahr//
ytfQRT_yjfF	cysJ//
ytjB_lplA	yqjH//
znuCB	hisC//
zraSR	
