# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	thrC//
yfdX_frc_oxc_yfdVE	pgpB//pfkB//arnC//
yfeCD	
yfeKS	
yfeYX	nrdB//
yffB_dapE_ypfN	ruvC//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	yqaB//
yfiP_patZ	mug//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	mrdA//
ygaXY	
ygaZH	lpxB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	rsmC//rsmB//eptB//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	glcB//
yggX_mltC	patD//
yggX_mltC_nupG	ldtB//nadC//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	napC//tilS//
ygiM_cca	rsmB//
ygjJK	murB//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	hchA//bioD//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	treA//rfbC//torZ//tmcA//purK//pdxJ//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	lplA//
yicJI	lpxC//
yicR_rpmBG	
yicR_rpmBG_mutM	glxR//
yidHGF	
yidKJ	
yieEF	nagA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	bioB//agp//
yifNO	
yigGF	
yihLM	
yihPO	astA//
yihUTS	yihT//truA//cpsG//
yihVW	nadA//
yihXY_dtd_yiiD	fbaA//paaK//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	folK//surA//fadD//menD//ynfE//pgaB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	accB//purD//
yjiHG_iadA	yciA//
yjiML	
yjiPQ	
yjiXA	dgcP//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	trxB//gmhB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	gabT//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	asnA//
ynfB_speG	pagP//
ynfEFGH_dmsD	mutT//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	yiaY//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	hinT//
yqaE_kbp	
yqcC_truC_yqcA	mnmG//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	chbF//nrdB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	cadA//
yrbG_kdsDC_lptCAB	opgE//ada//nrdB//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	ymdB//ydiB//
yrfG_hslR	phnN//
ytfQRT_yjfF	fabZ//
ytjB_lplA	ravA//
znuCB	atoA//
zraSR	
