# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pabB//
yfdX_frc_oxc_yfdVE	gcd//rutA//dhaK//
yfeCD	
yfeKS	
yfeYX	glpK//
yffB_dapE_ypfN	mdh//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	hisI//
yfiP_patZ	lpxD//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	pyrF//
ygaXY	
ygaZH	ynfE//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	pfkB//rlmG//gloA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	asnS//
yggX_mltC	ttdA//
yggX_mltC_nupG	ltaE//nemA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	mrcB//insI-3//
ygiM_cca	patZ//
ygjJK	ynjE//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	alkA//ybbO//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	ilvN//glpB//deoC//ybdL//cdsA//uxaB//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	ubiD//
yicJI	dusB//
yicR_rpmBG	
yicR_rpmBG_mutM	rutB//
yidHGF	
yidKJ	
yieEF	ybjG//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	malZ//yicI//
yifNO	
yigGF	
yihLM	
yihPO	pncB//
yihUTS	thiE//aldB//aroE//
yihVW	ispE//
yihXY_dtd_yiiD	nrfA//yjjG//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	murA//bcsB//bglX//rsmI//yqjG//otsB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	paaI//yegS//
yjiHG_iadA	pinE//
yjiML	
yjiPQ	
yjiXA	argE//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	yfbR//mltB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	argD//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	hemL//
ynfB_speG	cobB//
ynfEFGH_dmsD	add//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	ydbC//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	amiD//
yqaE_kbp	
yqcC_truC_yqcA	gsk//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	torY//sodB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	solA//
yrbG_kdsDC_lptCAB	ydfG//cobU//yggF//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	rffM//frdD//
yrfG_hslR	hisA//
ytfQRT_yjfF	mutL//
ytjB_lplA	hemH//
znuCB	lacA//
zraSR	
