# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	patZ//
yfdX_frc_oxc_yfdVE	slt//hycC//napG//
yfeCD	
yfeKS	
yfeYX	surA//
yffB_dapE_ypfN	mltB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	lysU//
yfiP_patZ	tadA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	bglA//
ygaXY	
ygaZH	mtgA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	lldD//mutL//rutE//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	ynfG//
yggX_mltC	pheS//
yggX_mltC_nupG	tgt//purH//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	gor//glpX//
ygiM_cca	hcp//
ygjJK	pta//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	mraY//ybcF//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	pabC//dusB//purK//betB//dgcM//gcvP//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	rlmC//
yicJI	panC//
yicR_rpmBG	
yicR_rpmBG_mutM	recR//
yidHGF	
yidKJ	
yieEF	yihX//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	ispH//purK//
yifNO	
yigGF	
yihLM	
yihPO	yneH//
yihUTS	eptC//phr//prmB//
yihVW	epmA//
yihXY_dtd_yiiD	argA//rhaD//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	phnJ//insI-1//waaQ//fbp//ilvB//metE//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	hyaC//gnd//
yjiHG_iadA	putA//
yjiML	
yjiPQ	
yjiXA	rfbA//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	rluB//coaE//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	nagZ//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	waaH//
ynfB_speG	garK//
ynfEFGH_dmsD	rfbB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	glgP//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	cheR//
yqaE_kbp	
yqcC_truC_yqcA	sucB//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	mltF//trmA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	cdh//
yrbG_kdsDC_lptCAB	murQ//ychF//pdeF//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	citF//ubiG//
yrfG_hslR	anmK//
ytfQRT_yjfF	ulaF//
ytjB_lplA	roxA//
znuCB	entB//
zraSR	
