# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	guaA//
yfdX_frc_oxc_yfdVE	mqo//ybjI//bcsZ//
yfeCD	
yfeKS	
yfeYX	nudB//
yffB_dapE_ypfN	acs//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	ftnA//
yfiP_patZ	guaD//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	hchA//
ygaXY	
ygaZH	metB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	dkgA//wbbI//paaF//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	ybcF//
yggX_mltC	gltA//
yggX_mltC_nupG	murF//pabB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	nudG//xylA//
ygiM_cca	tyrS//
ygjJK	cpsB//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	argF//lipA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	rlmC//mqo//trmI//thiK//rutB//kduD//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	panB//
yicJI	idnO//
yicR_rpmBG	
yicR_rpmBG_mutM	ynjE//
yidHGF	
yidKJ	
yieEF	ldtB//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	hyaB//lpxH//
yifNO	
yigGF	
yihLM	
yihPO	ubiE//
yihUTS	ygiF//metL//pphA//
yihVW	allD//
yihXY_dtd_yiiD	tcdA//hchA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	nagA//mhpA//mltD//clsA//yihV//nudE//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	xdhA//oxc//
yjiHG_iadA	entB//
yjiML	
yjiPQ	
yjiXA	ltaE//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	yiaY//garK//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	glgB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	puuE//
ynfB_speG	pbpC//
ynfEFGH_dmsD	phr//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	tpiA//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	aroF//
yqaE_kbp	
yqcC_truC_yqcA	gpsA//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	carB//fadB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	hemE//
yrbG_kdsDC_lptCAB	ilvN//fucO//thrS//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	dut//rluD//
yrfG_hslR	panE//
ytfQRT_yjfF	sgbE//
ytjB_lplA	waaG//
znuCB	dapA//
zraSR	
