# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	phnG//
yfdX_frc_oxc_yfdVE	purT//nrdF//rlmE//
yfeCD	
yfeKS	
yfeYX	ygiF//
yffB_dapE_ypfN	dfp//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	thiK//
yfiP_patZ	yjhH//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	purL//
ygaXY	
ygaZH	metB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	mcrB//fucO//nudE//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	yajO//
yggX_mltC	ybbO//
yggX_mltC_nupG	gatZ//dcd//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	prmC//tam//
ygiM_cca	sdhD//
ygjJK	rsmA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	ycjG//murI//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	tdcG//ydiB//menI//araB//napC//dapF//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	ispH//
yicJI	queG//
yicR_rpmBG	
yicR_rpmBG_mutM	malP//
yidHGF	
yidKJ	
yieEF	ilvG_2//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	yfcG//selD//
yifNO	
yigGF	
yihLM	
yihPO	pepD//
yihUTS	sucA//bacA//ahpC//
yihVW	moaA//
yihXY_dtd_yiiD	hyi//dnaE//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	cdd//frdD//fadB//dusA//gabD//solA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	yeaE//panD//
yjiHG_iadA	dapB//
yjiML	
yjiPQ	
yjiXA	fadB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	acnB//mhpD//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	ubiE//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	waaH//
ynfB_speG	purU//
ynfEFGH_dmsD	purU//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	ribE//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	acs//
yqaE_kbp	
yqcC_truC_yqcA	phnN//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	napC//ddlB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	thrC//
yrbG_kdsDC_lptCAB	clsB//rpiA//pldB//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	metA//entE//
yrfG_hslR	clsB//
ytfQRT_yjfF	yfeX//
ytjB_lplA	mnmA//
znuCB	mhpC//
zraSR	
