#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	b2104//bioP//b4319//b0232//
go_0009239_6	b0880//b3221//b2707//b3143//b1597//b1732//b4289//b4034//
go_0009240_6	b4003//
go_0009242_6	b0812//b1320//b2038//b4062//b2729//b0073//b0980//b3413//b2746//b0633//b1225//
go_0009243_7	b2574//
go_0009244_7	b3349//b0071//b0178//b3603//b3255//b3572//b2144//b3082//b0765//b3730//b1279//b1885//rpnC//b1131//b3636//b4100//b3535//b3304//b4050//b1282//b1618//b1782//b3521//b3547//b3168//b2580//b0152//b3365//b1493//
go_0009245_6	b1714//b0084//b1023//b2628//b2076//b1326//b1160//b2481//b1895//b0446//
go_0009246_6	b1241//b4093//b1272//b0382//b1924//b0553//b1748//b0728//b1284//
go_0009249_6	topAI//b1976//b4392//
go_0009250_7	b4160//b2731//b0423//
go_0009251_7	b0313//
go_0009252_7	b1853//b3005//b0996//b1133//b3499//b0106//b1301//b2844//b4321//b3253//b2383//b1413//b2481//b0424//b3347//b4195//b2340//b2157//b1125//b0612//b1892//b2297//b1122//b0029//b3264//b1617//b0226//b4511//b3787//b0759//b0526//
go_0009253_8	b3960//b3939//b3294//b0661//b0688//b3194//b2797//b3469//b0981//b3961//
go_0009254_8	b2888//b1477//b3072//b2871//b0433//b2716//b0173//b2143//b2506//b4072//
go_0009257_8	b2103//b4119//b1284//b4093//
go_0009263_6	b0191//b1450//b1263//b2748//
go_0009264_6	b1198//b3223//
go_0009265_7	b2670//
go_0009266_4	b0323//b0693//b1791//b3244//b4082//b1916//
go_0009267_5	b0337//b0990//b4314//b2075//
go_0009268_4	b3568//b2831//b1990//b1243//b4384//
go_0009271_4	b3137//b0241//b1905//
go_0009273_5	b4354//b3846//
go_0009290_6	b0593//b3872//
go_0009294_5	b2278//b1266//
go_0009297_6	b0636//b1828//b1650//b0440//b2699//b2979//b2052//b2520//b1662//b2155//b2541//b3781//b3066//b4000//
go_0009298_7	b2162//b4240//b1992//
go_0009305_7	b0220//
go_0009306_4	b0398//b3153//
go_0009311_5	b3477//
go_0009314_4	b4016//b2248//b3525//b4081//b2575//b0808//b0893//b1714//b3294//b1007//b3582//b2734//b3673//b2234//b2267//b0398//b1039//b1395//b3838//b1606//b3162//b1101//b3630//b0172//b4401//b0481//b1347//b1649//b2149//b2883//b2501//b4467//b1822//b2765//msrQ//b1469//b2164//b1918//b0927//b0694//b4267//b0588//b2098//b3522//b1871//b1073//b4064//b2349//b1292//
go_0009372_5	b3905//b4139//b1272//
go_0009396_6	bioD1//b3959//b1128//
go_0009398_7	b3684//
go_0009401_7	b3256//b3899//b3477//b0598//b0176//b2436//b1474//b2180//b0191//b2760//b1918//b0112//b1007//b2704//b4311//b1656//b3264//b3456//b0287//b1227//b3906//b2725//b2595//b1953//b4359//b0304//b3783//b1390//b0956//b1686//b1610//b3501//b2822//b3452//b3727//b3360//b0363//b4465//b1661//b2689//b2268//b3584//b1612//b0440//b1243//b1234//b0035//b1625//b3909//b1407//b2942//b2548//
go_0009403_5	b0393//
go_0009405_4	b2405//b2493//b0136//
go_0009407_3	b0375//b2785//b3703//
go_0009408_4	b3869//b1077//b0599//b1232//b0692//b1158//b0167//b4137//b0652//b3936//b3011//b3526//b2206//b2474//b3613//b2525//b0940//b0518//b2334//b0862//b3391//b3870//b3849//b1622//b2537//b2971//b3507//b4280//b4237//b1655//b1896//b2011//b2155//b0048//b3847//b3307//b0158//b0198//b3119//b0476//b1723//b2199//b1570//b3952//b1210//b1415//b0265//b0891//b3266//b0586//b2587//b0365//b2557//
go_0009409_4	b3498//b3553//b0102//b1260//b2665//b2669//b2282//b2400//b2688//b2540//b2107//b2871//b3121//b2831//
go_0009410_4	b3849//
go_0009411_6	b1861//b1896//b0554//b2053//b4071//b0619//b1272//b0958//b4464//b3288//b1123//b4239//b4235//b3736//
go_0009416_5	b0764//b1390//
go_0009423_8	b1976//b0211//b0556//b2276//
go_0009432_5	b0636//b0447//b0422//b1769//b2431//b4288//b4028//b0383//b3386//b2380//b4125//b3347//b4254//b1743//b3009//b1594//b0650//b0686//b1034//b1390//b3370//insI4//
go_0009435_9	b2409//b1698//b1288//b1885//b4192//
go_0009436_6	b0550//b4464//b1655//b2684//
go_0009437_5	b4072//b1701//b2574//b4099//b3168//
go_0009438_5	b2170//
go_0009440_6	b3029//b3870//b4079//
go_0009442_7	b2989//b3519//b3028//b0038//b3399//
go_0009443_5	b1955//gapC//b0172//
go_0009446_6	b3056//b1434//
go_0009447_6	b0596//b0827//b0942//b1252//b1391//b2742//b3952//b3237//
go_0009450_6	b2913//b2517//b0245//b3516//
go_0009451_6	b0444//b3458//b1343//b4171//b3032//
go_0009593_4	b3626//
go_0009597_5	b3452//
go_0009636_4	b2378//b2110//b2486//b0886//b3269//b4196//b1073//b2262//b1111//
go_0009637_6	b1312//
go_0009651_5	b0531//b1684//b3857//
go_0009697_5	b2677//
go_0009758_2	b1912//
go_0009785_5	b3564//
go_0009970_6	b3904//b1988//b0905//
go_0009972_10	b0618//
go_0009992_5	b3691//b2960//b1084//b2405//
go_0010033_4	b2095//
go_0010038_5	b1128//b2311//
go_0010039_6	b2086//
go_0010041_7	b1220//b2774//b3307//b2174//b0900//b2599//
go_0010042_6	b2520//
go_0010043_6	b2744//b1385//b2841//b3142//
go_0010045_6	b0415//b1111//
go_0010106_6	b3691//
go_0010124_4	b2781//b0073//rpnB//b2098//b0027//b2673//b0265//b2526//b4381//arcC//b2103//b4288//b1719//
go_0010133_7	b3430//
go_0010139_7	b2502//
go_0010165_6	b2996//b3156//b4027//b2151//b2365//b0596//b4376//b3882//b3243//b0299//b3533//b1584//b0677//b4202//b4269//b0973//
go_0010212_5	b2634//b0798//b1116//b0634//b3572//b3563//b2707//b1743//b4374//b3231//b3949//
go_0010226_6	b0426//
go_0010243_5	b2740//b2421//b0954//
go_0010272_6	b3927//b2421//b1096//b4366//
go_0010273_4	b3336//b1374//b2659//b0789//b0479//b3469//
go_0010312_3	b1776//
go_0010332_6	b1682//
go_0010350_6	b4064//b2129//
go_0010438_6	b2726//b2256//b2822//b4399//
go_0010447_5	b1807//b2829//b0575//b1435//b1679//b0096//b1050//b0444//b1782//b1023//b4363//
go_0010468_6	b2469//b3911//b4169//b1024//b1493//
go_0010498_6	b3690//
go_0010501_7	b1061//b1220//b2075//b3982//b1040//b1235//b2017//b3319//b0092//
go_0010557_7	b4136//
go_0010608_7	b1080//b1180//
go_0010628_7	b1120//b2963//b3519//
go_0010629_7	b1463//b1132//
go_0010676_7	b4028//
go_0010699_4	b3371//b3367//
go_0010810_5	b1539//b0878//
go_0010876_4	b3529//
go_0010911_5	b0553//
go_0010921_6	b4179//b1073//b0476//b0301//
go_0010951_8	b0490//b2558//
go_0010967_6	b0394//
go_0010974_7	b3782//
go_0012501_4	b0299//b1619//b2382//b2103//b1199//b0616//b4269//b3342//b3541//
go_0014070_5	b3305//b4326//
go_0015031_5	b1924//b1520//b2707//b2954//b1861//b3754//b3441//b2758//b1891//b0439//b2022//b1554//b0375//b4230//b4065//b1496//b2042//b0612//
go_0015074_6	b0979//b2103//b3880//b2369//b2502//b2754//b1951//
go_0015628_5	b3289//b0733//b3021//b4219//b3899//
go_0015670_6	b3631//
go_0015673_9	b0590//
go_0015675_9	b1734//
go_0015679_10	b1852//b1871//
go_0015682_8	b3930//b2841//
go_0015684_9	b1342//b1619//b4511//b0135//
go_0015685_8	b0903//b0636//b4169//b0446//b2568//b0512//
go_0015687_7	b3514//b4365//b2315//
go_0015688_6	b1448//b3581//b3360//b3846//
go_0015689_8	b1930//b3140//b4032//
go_0015691_9	b2724//b3393//
go_0015692_8	b1241//
go_0015693_9	b3711//
go_0015696_6	b1536//
go_0015698_7	b2349//
go_0015699_8	b0427//
go_0015700_8	b3822//b2792//
go_0015706_6	b4251//b1489//b2494//
go_0015707_6	b0802//b2020//b1209//b2994//b3179//b2557//
go_0015709_6	b0572//
go_0015710_8	b1840//b1398//
go_0015712_7	b4476//
go_0015718_8	b2624//
go_0015721_7	b3599//b1234//
go_0015724_7	b0172//b1703//b1978//
go_0015726_8	b3149//
go_0015733_7	b2195//
go_0015734_6	b0571//b0975//b2201//
go_0015736_9	b1103//
go_0015739_7	b1432//
go_0015740_9	b1707//b3053//b2831//b1854//
go_0015741_10	b3162//b0233//
go_0015747_6	b3671//
go_0015748_6	b1612//
go_0015749_7	b1791//b3652//b0445//b3070//b4143//b2898//b0188//b1676//b0133//b4539//b2150//b1501//b3529//b2791//b1388//b1194//b0123//b0231//b0507//b3974//b0598//
go_0015751_9	b2111//b3700//b2232//
go_0015752_9	b1092//b1763//b2581//b0812//b3308//b3902//
go_0015753_9	b1299//b0717//b2177//
go_0015754_9	b2306//b1324//b0261//
go_0015755_9	b1194//b4391//b1412//b3836//b1823//b0139//b3179//
go_0015756_9	b2077//b1430//
go_0015757_9	b0937//b0902//b3668//b1379//b3169//b2131//b1830//
go_0015760_8	b0511//
go_0015761_9	b1860//b3711//b0104//
go_0015762_9	b1010//
go_0015764_7	b1650//b4311//b1047//b3393//
go_0015765_8	b0466//b4389//b1778//b0676//
go_0015767_9	b1119//b3503//b3176//b3442//
go_0015768_9	b1501//b0979//b3417//b3565//b4382//b0679//
go_0015769_9	b2718//
go_0015771_9	b4326//b3426//b2385//b1204//
go_0015772_7	b2606//b3464//b2890//b0874//
go_0015774_7	b3554//b2180//
go_0015778_7	b1830//
go_0015793_7	b3583//b2114//
go_0015794_7	b3342//b0425//b0296//b0570//b4112//
go_0015795_7	b2727//
go_0015796_7	b2040//b0783//b2568//b2767//
go_0015797_7	b2683//b3715//
go_0015803_7	b3190//b3822//b4528//b0092//b3020//b2240//
go_0015804_7	hxpA//
go_0015806_6	b4070//
go_0015807_7	b0138//b0572//b1076//b3032//b2260//b0594//
go_0015808_8	b1080//b3966//
go_0015809_7	b1129//
go_0015810_8	b1394//b4125//
go_0015811_7	b2399//b4031//b4142//b1119//b4028//
go_0015813_6	b2925//b0031//b0697//
go_0015814_7	b2617//
go_0015816_6	b3842//
go_0015817_7	b3836//
go_0015818_7	b1885//b0953//
go_0015820_7	b2314//b4062//b3784//b2711//b4054//
go_0015821_7	b3534//b3615//b2380//b0942//b0504//
go_0015822_7	b2057//
go_0015823_7	b3020//b2163//b3357//b2501//b2310//b2506//b3478//
go_0015824_7	b2224//b2110//
go_0015825_8	b2480//
go_0015826_7	b0076//b1535//b0942//
go_0015827_7	b2231//b1449//b2159//
go_0015828_7	b0642//b1724//
go_0015829_7	b1905//b0641//b4128//b4088//
go_0015830_7	rpnD//b2558//b3406//
go_0015833_6	b3331//b4468//b2287//b3476//b1039//b3671//b4097//b4316//b3872//b3742//b1333//b1735//b1448//b1826//b0010//b4375//b1693//
go_0015834_7	b4382//b4099//b3262//b3906//b0623//
go_0015835_6	b3709//
go_0015836_7	b0155//b4306//b0314//
go_0015839_7	hprS//
go_0015846_6	b0754//b4191//
go_0015847_7	b2086//b1654//b3514//b2334//b3035//b2801//b3828//b0073//b2179//b1961//b0261//b1025//b1422//b0978//b0896//
go_0015848_7	b3162//b1822//b4382//
go_0015851_6	b2042//
go_0015853_8	b3805//b3124//
go_0015856_8	b0154//
go_0015857_6	b0509//b4666//
go_0015858_7	b3824//b2990//b2069//
go_0015860_7	b1753//b1212//
go_0015861_9	b3503//b0533//
go_0015862_9	b0970//b3019//
go_0015863_8	b3753//
go_0015864_8	b4155//
go_0015871_6	b3281//b1874//b3793//b0033//b2570//
go_0015878_6	b1119//
go_0015879_9	b3087//
go_0015882_7	b1117//b2891//b4161//
go_0015886_6	b1824//b3144//b2916//b1249//b1198//b1787//b1998//b1613//b3909//
go_0015887_7	b0928//
go_0015888_6	b2184//
go_0015889_6	b3497//b3994//b1764//b3240//b4090//b3223//b1258//
go_0015891_6	b2292//b4020//
go_0015906_6	b0121//b3746//b1822//
go_0015909_8	b1014//
go_0015912_8	b4301//
go_0015914_7	b4327//b0957//b2032//b4090//b0758//b2837//
go_0015920_7	b0532//b1282//b3216//b1201//b3770//b0652//b0382//b0438//glsB//
go_0015937_7	b4077//b3320//b1584//b3702//
go_0015940_6	b0083//b2711//
go_0015944_4	b4138//b0026//b2215//b3459//b0795//b4071//b1824//
go_0015949_5	b2601//b1609//b0724//b0954//b3011//b1337//b4099//b1025//b4232//b3203//b3095//b3785//b3175//hiuH//b1280//b3021//b1926//b3430//b0213//b2163//
go_0015950_6	b2827//
go_0015951_7	b1885//b1612//
go_0015968_6	b0717//
go_0015969_8	b1994//b4208//
go_0015976_2	b3547//b3180//b0755//b0982//b0737//b1570//b3543//b4146//
go_0015986_7	b0470//b1093//b4358//
go_0015990_10	b3364//b2261//b2867//b3597//b1024//b1199//b0652//b0178//
go_0016024_7	b0633//
go_0016032_5	b4539//
go_0016036_6	b2503//b1878//b1970//b4309//b4602//b3226//
go_0016042_5	b3501//b2367//
go_0016052_5	b2913//b1091//b3541//b0616//
go_0016075_8	b0092//b0052//
go_0016078_8	b0595//
go_0016094_6	b2407//b1780//
go_0016226_5	b2241//b0064//b2474//b4101//b2939//b0430//b3034//b3785//b3564//b3331//b1022//b0752//b0347//b0995//b3982//b2947//b4154//
go_0016259_7	b0207//
go_0016260_8	b0512//b4071//b0795//
go_0016310_6	b0179//b1338//b3295//b2492//b0113//b2786//b0242//b1821//b0972//b2064//b0586//b0420//b3559//b0590//b3640//b0182//b3461//b3838//b0090//b3210//b4304//b0430//b3749//b1299//b3653//
go_0016311_6	b1617//b3115//b0307//b3539//b2234//b1677//b0938//b3389//b4090//b0121//b3625//b1655//b3006//b2161//b1290//b2437//b2811//b2438//b2508//b3754//b3008//b4299//b3875//b0797//b1141//b3405//b1319//b2551//b2601//b0546//selU//b3264//b2802//b3437//b0168//b4464//b0355//b0907//b0213//b0530//b3417//b4137//b3296//b4258//b0915//
go_0016458_3	b0113//b0398//
go_0016485_6	b1499//b3114//b2179//b1856//b2705//
go_0016540_7	b2133//b3477//
go_0016579_7	b3172//
go_0016998_5	b0739//
go_0017001_5	b2338//
go_0017003_8	b0732//b4354//
go_0017004_7	b1590//b3659//b3073//b4081//b2579//b3327//b2921//
go_0017013_7	b2311//b0330//
go_0017038_6	b1333//b3574//b4483//
go_0017148_8	b1277//b1815//b1450//b2010//b2108//b3503//b4618//b3455//b0981//b4238//b1037//b3715//
go_0017189_7	b3528//
go_0017198_7	b3875//
go_0018012_8	b3973//
go_0018023_7	b1125//
go_0018063_8	b4129//b1249//
go_0018070_8	b1015//b2707//
go_0018104_8	b0161//b0627//b2312//b0340//b2108//b4481//b2474//b2744//
go_0018105_8	b0180//
go_0018106_8	b4018//b1677//b4316//b2584//b3290//b0836//b4322//b1430//b3166//b0138//b3115//b3024//b2276//b2952//b1114//b0189//b0877//b3925//b3842//b0750//b0827//b3310//b4113//b3152//b0106//b3417//b4209//b3252//b3954//
go_0018108_8	b3648//
go_0018117_8	b3526//
go_0018125_6	b3404//
go_0018131_6	b3942//
go_0018160_8	b3942//
go_0018206_8	b2579//
go_0018247_9	b2975//
go_0018283_6	b2690//b1392//
go_0018298_7	b2964//
go_0018307_7	b1301//
go_0018315_8	b0521//
go_0018339_9	b4240//b0256//
go_0018345_8	b0529//
go_0018364_6	b3357//b0728//
go_0018378_9	b0678//b2532//b0433//
go_0018393_10	b0578//b0365//
go_0018394_9	b3525//
go_0018410_8	b0378//
go_0018909_5	b4159//
go_0018937_4	b1521//
go_0019042_6	b0637//
go_0019068_6	b1518//b3713//
go_0019076_6	b2707//b0900//b2891//b0988//
go_0019217_7	b4078//
go_0019242_6	b0714//
go_0019243_7	b3860//b0996//b2594//b3384//b1120//hprR//b1360//b0731//b2215//b2865//b3331//b3375//b0199//b3238//b0179//b4081//b3524//b0534//b2154//b0125//b3258//b0347//b2907//b3205//
go_0019249_6	b2183//
go_0019250_7	b4356//
go_0019262_6	b0215//b2094//b2607//b2358//b3227//b1826//b4077//
go_0019264_7	b0967//
go_0019272_9	b1092//b0697//
go_0019284_7	b0842//b3281//b3507//
go_0019285_5	b2831//b1185//
go_0019288_6	b1050//b2165//b3973//b0882//
go_0019290_5	b2733//
go_0019292_8	b2930//
go_0019294_6	b0269//b0046//b3535//b3793//
go_0019299_6	b2096//
go_0019301_7	b3222//b1703//b4242//b0755//b0045//b0997//b1637//
go_0019303_7	b0779//b0160//
go_0019305_7	b0169//
go_0019309_7	b3726//
go_0019316_8	b3404//b1863//b3719//
go_0019318_5	b0178//
go_0019323_6	b1338//b0530//b2312//b0393//b4086//b1508//b0054//b0535//b2177//
go_0019324_6	b4005//b2551//b0095//b1698//b4299//
go_0019343_8	b1203//
go_0019344_7	b4301//b1786//b2062//
go_0019346_7	b2546//
go_0019353_8	b2709//b2573//b0156//b0059//
go_0019354_6	b0596//
go_0019379_5	b2511//
go_0019380_6	b1386//b0476//b4011//b2803//b2996//
go_0019388_7	b2058//
go_0019391_6	b1896//
go_0019394_7	b3128//
go_0019395_5	b0758//b0584//
go_0019404_8	b2042//b1192//
go_0019413_6	b4362//b3149//
go_0019419_4	b3295//
go_0019427_7	b0637//
go_0019430_5	b2624//b1654//b4168//
go_0019432_7	b3430//
go_0019439_5	b1387//b1009//
go_0019447_8	b0632//
go_0019450_9	b0047//
go_0019464_7	b0179//b3834//b4160//b2491//
go_0019480_4	b3982//
go_0019509_7	b2025//
go_0019516_4	b4078//b0621//
go_0019521_6	b0565//b3336//
go_0019542_6	b0529//
go_0019545_6	b0674//
go_0019546_9	b1432//b3786//b3584//b2179//
go_0019563_7	b3438//b2711//b0914//b1039//
go_0019568_7	b1854//b0850//b0620//
go_0019569_7	b4314//b0875//b1601//
go_0019571_8	b4152//b3486//b4100//
go_0019572_8	b3513//
go_0019584_7	b1658//
go_0019588_7	b2312//b1681//
go_0019592_8	b2575//
go_0019595_8	b1807//
go_0019607_6	b1852//b3345//
go_0019622_6	b4198//b1851//b3180//
go_0019629_7	b1828//b3839//
go_0019632_5	b1563//b3216//b2435//b0857//
go_0019634_5	b2595//
go_0019645_6	b0480//b3480//b4702//b1300//b3539//b2603//b3535//b2342//
go_0019646_6	b0200//b3161//b2216//b3368//b3201//b3985//b2811//b0509//b2525//
go_0019664_6	b3564//b3502//
go_0019665_5	b2386//
go_0019673_6	b2628//
go_0019676_3	b3869//b1737//
go_0019677_8	b1227//
go_0019679_7	b1715//b0446//b3331//
go_0019686_6	b2812//
go_0019698_7	b1853//b2436//b1615//b4467//b3565//b2062//
go_0019700_6	b0046//b1126//b1883//b3172//b3791//b2943//b0882//b0212//
go_0019740_2	b4260//b0197//b0300//b4289//b2546//rpnC//b3110//
go_0019752_6	b1782//
go_0019805_6	b3116//
go_0019835_3	b1779//b4339//b1663//b1472//b2664//
go_0019852_5	b1011//b0195//b3804//
go_0019854_6	b3227//b3765//
go_0019856_7	b1879//b2163//
go_0019858_7	b2758//
go_0019859_7	b0750//
go_0019877_6	b3145//b3751//b2898//
go_0019878_9	b3279//b3626//
go_0019935_6	b0553//b1199//
go_0019985_8	gapC//b2021//b1829//
go_0019988_7	b3183//
go_0022417_4	b3836//b2544//
go_0022610_2	b0575//b4152//b1377//
go_0022611_3	b0601//b0408//b2026//b1096//b2109//b1276//
go_0022900_4	b3563//b1391//b1912//
go_0022904_5	b1536//b1258//b1678//b0265//b4265//
go_0023014_4	b4214//b1338//b2961//b4261//b0695//b0086//b1614//b4159//b3190//b2233//b2219//b3576//b3317//b0022//b3718//b1092//b4195//b3224//b1258//b4465//b3668//b3409//b0014//b1379//b1159//b2741//b3985//b3833//b2379//b2689//b3256//b1124//b1550//
go_0030001_7	b2162//b3793//b0472//
go_0030007_8	b0020//
go_0030026_9	b2156//
go_0030091_6	b0681//b4394//b2906//b0972//b1286//b3704//b2163//b0808//b3011//b0692//
go_0030153_5	b1398//b4246//
go_0030162_7	b0439//b2574//
go_0030163_5	b1047//b1290//b2727//
go_0030244_9	b4363//
go_0030258_5	b0516//b0438//
go_0030260_7	b3410//
go_0030261_8	b2327//
go_0030307_6	b3178//
go_0030308_6	hexR//b0281//b3312//b4025//b3526//
go_0030388_5	b2536//b4301//b4393//
go_0030488_6	b2388//b1467//b4042//b2053//b2627//b0640//b0349//b1122//b2529//b4114//b1404//b0099//b1060//
go_0030490_10	b2508//b1421//b1736//
go_0030497_7	b1204//b1271//
go_0030541_4	b1476//b2326//
go_0030573_6	b0601//
go_0030632_8	b1262//b3351//b0168//b3311//
go_0030641_8	b1060//b3556//
go_0030643_8	b2767//
go_0030961_9	b2989//
go_0030980_7	b2595//b2726//b4243//
go_0031118_8	b1284//
go_0031119_8	b1081//b1140//b3736//b3271//b0094//b0226//
go_0031125_10	b3866//
go_0031162_5	b2019//b2933//
go_0031167_6	b3409//b3712//b0261//b0842//b4506//b3066//
go_0031280_6	b2038//
go_0031297_7	b3462//
go_0031342_5	b3551//
go_0031346_7	b0957//
go_0031365_7	b0507//
go_0031400_8	b3113//
go_0031439_9	b3516//
go_0031460_7	b0214//b0461//b2616//b0086//b4195//b1737//b4242//b0087//b0029//b3666//b2213//b3400//
go_0031554_7	b2066//
go_0031555_8	b0220//b1054//b3502//b3196//
go_0031556_9	b2620//b2193//
go_0031564_8	b0603//b1844//b1497//b1916//b2438//b2253//b3291//b2135//b2329//b3934//b1833//b0382//b0513//
go_0031638_7	b2338//
go_0031648_5	b0003//
go_0031669_5	b3888//b0953//b4347//
go_0031670_5	b1018//
go_0032025_6	b0189//b3511//
go_0032026_6	b2248//
go_0032049_8	b3750//b0653//b3713//
go_0032055_6	b2735//
go_0032091_6	b0539//
go_0032147_9	b3343//
go_0032150_8	b2573//
go_0032194_8	b1993//
go_0032196_3	b2918//b0144//b0081//b2364//b2335//b2702//
go_0032238_6	b3743//
go_0032259_3	b3205//b2094//b0887//b2456//b3353//b3930//b1841//
go_0032261_6	b0585//
go_0032263_7	b3182//b3303//
go_0032264_7	b1493//b2687//
go_0032265_7	b2760//
go_0032272_7	b2669//b3474//
go_0032297_10	b2582//b3734//b2934//
go_0032298_10	b1615//b0272//
go_0032324_6	b4380//b0616//b0072//
go_0032329_7	b0408//b0084//
go_0032359_7	b1535//b0817//b0651//
go_0032412_6	b3450//
go_0032413_6	b2339//
go_0032414_6	b3592//b4180//
go_0032445_10	b0754//b2040//mtnN//b1998//b3791//
go_0032462_7	b3935//
go_0032466_7	b0881//
go_0032467_7	b0409//
go_0032506_4	b1301//
go_0032508_8	b0174//b2144//b3222//b1945//b3396//b4319//b0856//b0512//b0383//b2361//
go_0032774_6	b2659//
go_0032775_6	b3654//b2253//b4139//
go_0032781_7	b0429//b1107//b0410//
go_0032784_8	b0859//b2742//
go_0032790_6	b1766//b3463//
go_0032885_7	b3982//
go_0032951_8	b2479//
go_0032955_6	b2760//b4087//
go_0032973_7	b2241//
go_0032978_7	b3990//b4664//b3717//b3642//
go_0033014_6	b0084//b1521//
go_0033051_5	b3722//
go_0033120_8	b2206//
go_0033194_5	b1896//b2574//b3974//b2436//
go_0033195_5	b1089//
go_0033212_10	b3268//b4058//b3367//
go_0033214_11	b3093//maoP//
go_0033228_8	b0874//b0260//b0101//b2919//
go_0033317_7	b0586//b1497//b4255//b2383//
go_0033320_6	b4178//
go_0033345_8	b1625//
go_0033353_5	b0796//
go_0033359_7	b0877//b3135//
go_0033384_6	b0339//
go_0033388_7	b2894//
go_0033477_5	b0083//
go_0033499_8	b0608//b0681//b3522//b3907//b1661//b4618//b0782//
go_0033518_6	b0605//
go_0033539_7	b4062//b3918//b3481//
go_0033542_7	b2943//
go_0033543_8	b1804//
go_0033567_6	b3514//
go_0033585_7	b2169//b4365//
go_0033611_8	b3928//
go_0033683_7	b2474//
go_0034194_8	b3984//b0085//b0212//
go_0034195_8	b3683//
go_0034198_6	b3519//b4133//b2702//
go_0034203_6	b2132//
go_0034204_5	b3392//b4510//
go_0034213_6	b3775//
go_0034214_7	b1192//b2094//b3260//b2174//
go_0034219_6	b1182//b1176//b0960//b3673//b3910//b0928//b2839//b2290//b2284//b3816//b2256//b2318//b2265//b2481//b1745//b3321//b2938//b4043//b1074//b2526//b0686//b2835//b2015//b1703//b3632//b1594//b4255//b2291//b3729//b2767//b2665//b3116//b3653//b2515//b0303//b4213//b1926//gpr//b3360//b1828//b0355//b3298//b3474//b3682//b4072//b2153//b3321//b3026//b2061//b0103//b3344//b3164//b2780//b4018//b3311//b1901//b3433//
go_0034220_6	b0276//b1341//b0891//b0447//b1363//b3264//b0578//b2946//b4082//b0103//
go_0034224_6	b1617//b1853//
go_0034227_8	b2047//
go_0034258_8	b0526//
go_0034260_5	b3141//
go_0034289_7	b4372//
go_0034337_3	b1395//b2361//
go_0034355_7	b0652//b4559//b0025//b0942//
go_0034401_5	b1390//
go_0034414_9	b4339//
go_0034421_8	b1987//
go_0034470_8	b4474//
go_0034552_7	b2755//
go_0034599_5	b0585//b3780//b3501//b1037//b3683//b4365//b3265//b0767//b4171//b3813//b3906//
go_0034605_5	b3991//b3288//b0530//b1990//b1324//b3706//b4255//b2529//b0347//
go_0034614_6	b3712//b1512//
go_0034620_6	b2541//b3544//b2705//b1101//
go_0034628_9	b4083//b0679//b1344//b2258//b0318//
go_0034635_6	b2901//
go_0034644_7	b0176//b0418//
go_0034661_7	bioD1//
go_0034775_7	b0296//b3634//b0113//b1961//b1682//
go_0034983_9	b1580//b1469//
go_0035235_6	b0312//b1930//b2569//b3788//
go_0035307_9	b1059//
go_0035335_8	b0594//b1136//b3605//
go_0035344_8	b0717//b0859//
go_0035350_6	b1222//
go_0035429_8	b3903//b1059//b3082//b0179//b1078//b1881//
go_0035433_7	b1226//
go_0035434_9	b3240//
go_0035435_9	b4208//b3823//b2556//b3620//b2703//b2077//b4120//b1922//b2093//
go_0035442_7	b0674//b0794//b0469//b2492//b2469//b3393//b1569//b3567//b0593//b1610//b2676//
go_0035443_7	b3083//b1778//gapC//
go_0035444_9	b0262//b0184//b2438//b2311//b3454//b3247//b1395//
go_0035461_6	b1232//b1160//
go_0035524_8	b2990//
go_0035552_6	b0659//
go_0035553_6	b2905//
go_0035556_4	b2774//
go_0035600_8	b0225//
go_0035672_6	b0169//b2615//b2997//b3019//
go_0035725_9	b0921//b0697//b2934//b1391//b3204//b0429//
go_0035784_9	b0348//
go_0035864_6	b0422//
go_0035873_8	b2207//b0589//
go_0035999_5	b2387//b0418//b1387//b4288//
go_0036001_7	b3688//
go_0036047_9	b3729//
go_0036049_9	b3026//
go_0036088_6	msrQ//
go_0036104_6	b0781//b2756//
go_0036172_6	arcC//
go_0036214_3	b1800//
go_0036265_6	b2339//b0526//
go_0036289_9	b3850//b1379//
go_0036448_6	b3666//b3942//b0968//
go_0036460_5	b2474//b0460//b0741//b2092//b0811//b3717//
go_0036506_5	b0829//
go_0036525_7	b4668//
go_0038083_9	b1775//b1136//b3423//b3462//b4059//
go_0040033_9	b3790//
go_0042026_4	b3833//b1805//b4306//b1741//b3056//b1892//b3877//b0846//b2103//
go_0042126_5	b3736//b2053//
go_0042128_5	b2289//b1515//
go_0042150_7	b0299//b2726//b4313//
go_0042157_5	b1235//
go_0042158_6	b1732//b0110//
go_0042177_7	b2531//b2994//b2153//
go_0042182_5	b2362//
go_0042219_6	b1094//
go_0042245_7	b1245//b3307//b1615//
go_0042254_5	b2923//b1526//b0927//b0970//b1652//b2922//b0071//
go_0042255_6	b4039//b4131//
go_0042274_5	b0232//b2493//b2096//b3641//
go_0042304_7	b2619//
go_0042351_7	b2566//
go_0042355_8	b0462//b3676//b4053//b3635//b2666//b4315//
go_0042371_7	b1890//
go_0042413_6	b1202//b1023//b3237//b3355//
